Condition,Count,Percentage
Atelectasis,11559,10.309489832322512
Cardiomegaly,2776,2.4759186585800927
Effusion,13317,11.877452729218694
Infiltration,19894,17.743489118801286
Mass,5782,5.1569746699964325
Nodule,6331,5.646628612201213
Pneumonia,1431,1.2763110952550838
Pneumothorax,5302,4.728861933642526
Consolidation,4667,4.16250445950767
Edema,2303,2.054049232964681
Emphysema,2516,2.244024259721727
Fibrosis,1686,1.5037459864430966
Pleural_Thickening,3385,3.0190866928291116
Hernia,227,0.20246164823403495
